id	gloss	text
1963	NEXT-WEEK PT_PRO1 MUST NOT HELP NEIGHBOUR	I must not help my neighbour next week.
1964	MORNING PT_PRO3 DRINK WATER Q	Do they drink water in the morning?
1965	NEXT-WEEK PT_PRO2 NOT TEXT COACH	You will not text my coach next week.
1966	TOMORROW PT_PRO2 RUN OFTEN Q	Will you run tomorrow often?
1967	YESTERDAY PT_PRO2 COME HOME	You came to home yesterday.
1968	NEXT-WEEK PT_PRO3 CAN TEXT DAD	They can text my dad next week.
1969	MORNING TEACHER NOT TRAIN	The teacher does not train in the morning.
1970	IF PT_PRO3 GO HOME THEN PT_PRO3 READY	If they go to home, then they are ready.
1971	YESTERDAY PT_PRO1 SEE BOOK SOMETIMES	I saw a book yesterday sometimes.
1972	NIGHT DOCTOR WALK	The doctor walks at night.
1973	AFTERNOON PT_PRO2 TRAIN	You train in the afternoon.
1974	NIGHT PT_PRO1 NOT STUDY	I do not study at night.
1975	NOW PT_PRO1 LISTEN MOVIE Q	Do I listen to a movie now?
1976	PT_PRO2 READ PHONE OFTEN	You read my phone often.
1977	LAST-WEEK PT_PRO1 TEXT FRIEND	I texted my friend last week.
1978	YESTERDAY DOCTOR TRAIN	The doctor trained yesterday.
1979	WHO TEACHER MEET Q	Who Will the teacher meet next week?
1980	TOMORROW PT_PRO3 CALL NEIGHBOUR	They will call my neighbour tomorrow.
1981	LAST-WEEK PT_PRO3 COOK	They cooked last week.
1982	TOMORROW PT_PRO1 CAN MEET TEACHER	I can meet my teacher tomorrow.
1983	TOMORROW PT_PRO2 TRAIN Q	Will you train tomorrow?
1984	LAST-WEEK PT_PRO1 WORK Q	Did I work last week?
1985	WOMAN MUST SEE EMAIL OFTEN	The woman must see an email often.
1986	IF PT_PRO2 RUN THEN PT_PRO2 HAPPY	If you run, then you are happy.
1987	NEXT-WEEK PT_PRO1 HOT	I will be hot next week.
1988	WHY TEACHER GO Q	Why Does the teacher go at night?
1989	WEEKEND PT_PRO2 SEE BAG	You see my bag on the weekend.
1990	NOW WOMAN CALL TEACHER	The woman calls my teacher now.
1991	NEXT-WEEK PT_PRO3 GO PARK	They will go to the park next week.
1992	WEEKEND NEIGHBOUR EMAIL TEACHER	The neighbour emails my teacher on the weekend.
1993	WEEKEND PT_PRO3 SEE MESSAGE	They see a message on the weekend.
1994	TODAY PT_PRO1 NOT STUDY	I do not study today.
1995	WEEKEND STUDENT BUY CAR	The student buys a car on the weekend.
1996	AFTERNOON PT_PRO3 LISTEN MUSIC	They listen to music in the afternoon.
1997	AFTERNOON PT_PRO2 CAN SLEEP FAST	You can sleep in the afternoon quickly.
1998	IF PT_PRO2 RUN THEN PT_PRO2 BAD	If you run, then you are bad.
1999	YESTERDAY PT_PRO1 NOT WORK ALWAYS	I did not work yesterday always.
2000	NIGHT PT_PRO3 WANT BUY BAG Q	They want to buy my bag at night?
